,property_id,property_name,district_key,district_name,property_address,postal_code,postal_area,grossarea,totalgrossarea,volume,totalfloorarea,year_built,year_renovated,floorcount,attic_floorcount,keyfield,intended_use
0,675201,Ylikiimingin koulun yläkoulu,16,Ylikiiminki,Harjutie 17 / Opinkuja 4,91300,YLIKIIMINKI,2079.0,2345.0,8540.0,2439.0,2004,0,3,0,502797,511 Educational building buildings
1,675701,Ylikiimingin terveysasema,16,Ylikiiminki,Vesaisenlinnantie 2,91300,YLIKIIMINKI,844.0,975.0,3340.0,886.0,1989,0,0,0,502799,214 Health Centers
2,656401,Martinniemen koulu ja kirjasto,20,Haukipudas,Jokisuuntie 1,90850,MARTINNIEMI,3018.0,3415.0,14773.0,3298.0,1956,2005,0,0,502800,511 Educational building buildings
3,656301,"Aseman koulu ja kirjasto, A-rakennus",20,Haukipudas,Asemakylänraitti 1,90840,HAUKIPUDAS,939.0,1079.0,3438.0,1123.0,1957,2006,0,0,502802,511 Educational building buildings
4,656501,Toimintakeskus Jatuli ja Vesi-Jatuli,20,Haukipudas,Jokelantie 20,90830,HAUKIPUDAS,8635.0,9586.0,48100.0,9112.0,1979,0,0,0,502803,352 Swimming pools
5,646101,Pitkäkankaan päiväkoti,40,Oulunsalo,Tuohikuja 3,90460,OULUNSALO,1288.0,1465.0,4827.0,1339.0,2001,0,1,0,502804,231 Kindergartens
6,667801,Yli-Iin kirjasto,50,Yli-Ii,Halametsä 1,91200,YLI-II,708.0,614.0,2750.0,813.0,1985,0,0,0,502806,322 Libraries and archives
7,668101,Yli-Iin paloasema,50,Yli-Ii,Kirkkokuja 1,91200,YLI-II,616.0,682.0,2950.0,682.0,1997,0,0,0,502813,721 Fire stations
8,646001,Salonpään päiväkoti,40,Oulunsalo,Keskipiirintie 27,90470,VARJAKKA,288.0,337.0,1155.0,335.0,1991,2004,1,0,502814,231 Kindergartens
9,667101,"Teknisen toimiston tukikohta, Yli-Ii",50,Yli-Ii,Ruunatie 14,91200,YLI-II,437.0,270.0,877.0,224.0,1983,0,0,0,502816,162 Vehicle containment and maintenance buildings
10,658001,Haukiputaan varikko,20,Haukipudas,Simppulanharjuntie 17,90830,HAUKIPUDAS,1511.0,1714.0,6205.0,0.0,1972,1983,0,0,502817,999 Buildings nec
11,675301,Mustikan päiväkoti TYHJÄ,16,Ylikiiminki,Hillikkotie 8,91300,YLIKIIMINKI,249.0,280.0,950.0,278.0,1985,0,0,0,502819,231 Kindergartens
12,646201,Saloilan päiväkoti,40,Oulunsalo,Tolvasenkuja 1,90460,OULUNSALO,852.0,988.0,3310.0,840.0,1986,0,1,0,502821,231 Kindergartens
